,0,1,2,res,output
0,"Напиши резюме тексту: СБУ зібрала доказову базу щодо причетності колишнього настоятеля Києво-Печерської Лаври Павла (Петра Лебідя) до розпалювання релігійної ворожнечі, виправдовування і заперечення збройної агресії РФ проти України СБУ зібрала доказову базу щодо причетності колишнього настоятеля Києво-Печерської Лаври Павла (Петра Лебідя) до розпалювання релігійної ворожнечі, виправдовування і заперечення збройної агресії РФ проти України. Про це повідомили 1 квітня в telegram-каналі Служби безпеки України. Зазначається, що встановлено, що Лебідь у своїх публічних виступах неодноразово ображав релігійні почуття українців, принижував погляди вірян інших конфесій і намагався сформувати ворожі настрої до них, а також робив заяви, котрі виправдовували чи заперечували дії РФ. Це підтвердила й ініційована Службою безпеки судово-лінгвістична експертиза. Читайте також: Борислав Береза. Ситуація довкола Лаври йде за сценарієм ФСБ ""Закон і відповідальність за його порушення однакові для всіх, а ряса не завжди є запорукою чистих намірів. Сьогодні ворог намагається використати церковне середовище для просування своєї пропаганди та розколу українського суспільства. Але ми не дамо йому жодного шансу! СБУ системно блокує усі спроби російських спецслужб, котрі прагнуть використовувати своїх агентів для нанесення шкоди інтересам та безпеці України"", – зазначив Голова СБУ Василь Малюк. Повідомляється, що на підставі зібраних доказів Лебідю повідомлено про підозру за ч. 1 ст. 161 Кримінального кодексу України (порушення рівноправності громадян залежно від їх расової, національної, регіональної належності, релігійних переконань) та ч. 1 ст. 436-2 (виправдовування, заперечення збройної агресії РФ проти України, глорифікація її учасників). Читайте також: Страсті за київською Лаврою: як московський патріархат виїжджає зі святині і скільки це може тривати Наразі за місцями проживання та тимчасового перебування фігуранта проводяться слідчі дії. Також у пості додається, що у 2022 році СБУ розпочала комплексні контррозвідувальні та безпекові заходи (понад 40) у церковному середовищі УПЦ, які відбувалися для припинення деструктивної діяльності проросійськи налаштованого духовенства. Читайте також: Вадим Денисенко. Рано радіти переходу київської Лаври до української церкви ""У результаті заходів, проведених СБУ, порушено 61 кримінальне провадження стосовно 61 священнослужителя. Загалом суди вже винесли 7 вироків стосовно окремих кліриків, які стали на бік ворога, у т.ч. 2 з них було використано в обміні на наших військовослужбовців"", - йдеться у дописі. Читайте також: УПЦ МП. У Києво-Печерської Лаврі почався постійні бої ""СБУ не дозволить жодному з них, а також їхніми агентів, які перебували на релігійних та церковних постах, виступати проти України та її військовослужбовців. СБУ не дозволить жодному з них, а також їхніми агентів, які перебували на релігійних та церковних постах, виступати проти України та її військовослужбовців. СБУ не дозволить жодному з них, а також їхніми агентів, які перебували на релігійних та церковних постах, виступати проти України та її військовослужбовців. СБУ не дозволить жодному з них, а також їхніми агентів, які перебували на релігійних та церковних постах, виступати проти України та її військовослужбовців. СБУ не дозволить жодному з них, а також їхніми агентів, які перебували на релігійних та церковних постах, виступати проти України та її військовослужбовців. СБУ не дозволить жодному з них, а також їхніми агентів,",espreso-59145,"СБУ зібрала доказову базу щодо причетності колишнього настоятеля Києво-Печерської Лаври Павла (Петра Лебідя) до розпалювання релігійної ворожнечі, виправдовування і заперечення збройної агресії РФ проти України СБУ зібрала доказову базу щодо причетності колишнього настоятеля Києво-Печерської Лаври Павла (Петра Лебідя) до розпалювання релігійної ворожнечі, виправдовування і заперечення збройної агресії РФ проти України. Про це повідомили 1 квітня в telegram-каналі Служби безпеки України. Зазначається, що встановлено, що Лебідь у своїх публічних виступах неодноразово ображав релігійні почуття українців, принижував погляди вірян інших конфесій і намагався сформувати ворожі настрої до них, а також робив заяви, котрі виправдовували чи заперечували дії РФ. Це підтвердила й ініційована Службою безпеки судово-лінгвістична експертиза. Читайте також: Борислав Береза. Ситуація довкола Лаври йде за сценарієм ФСБ ""Закон і відповідальність за його порушення однакові для всіх, а ряса не завжди є запорукою чистих намірів. Сьогодні ворог намагається використати церковне середовище для просування своєї пропаганди та розколу українського суспільства. Але ми не дамо йому жодного шансу! СБУ системно блокує усі спроби російських спецслужб, котрі прагнуть використовувати своїх агентів для нанесення шкоди інтересам та безпеці України"", – зазначив Голова СБУ Василь Малюк. Повідомляється, що на підставі зібраних доказів Лебідю повідомлено про підозру за ч. 1 ст. 161 Кримінального кодексу України (порушення рівноправності громадян залежно від їх расової, національної, регіональної належності, релігійних переконань) та ч. 1 ст. 436-2 (виправдовування, заперечення збройної агресії РФ проти України, глорифікація її учасників). Читайте також: Страсті за київською Лаврою: як московський патріархат виїжджає зі святині і скільки це може тривати Наразі за місцями проживання та тимчасового перебування фігуранта проводяться слідчі дії. Також у пості додається, що у 2022 році СБУ розпочала комплексні контррозвідувальні та безпекові заходи (понад 40) у церковному середовищі УПЦ, які відбувалися для припинення деструктивної діяльності проросійськи налаштованого духовенства. Читайте також: Вадим Денисенко. Рано радіти переходу київської Лаври до української церкви ""У результаті заходів, проведених СБУ, порушено 61 кримінальне провадження стосовно 61 священнослужителя. Загалом суди вже винесли 7 вироків стосовно окремих кліриків, які стали на бік ворога, у т.ч. 2 з них було використано в обміні на наших військовослужбовців"", - йдеться у дописі.",,"Читайте також: УПЦ МП. У Києво-Печерської Лаврі почався постійні бої ""СБУ не дозволить жодному з них, а також їхніми агентів, які перебували на релігійних та церковних постах, виступати проти України та її військовослужбовців. СБУ не дозволить жодному з них, а також їхніми агентів, які перебували на релігійних та церковних постах, виступати проти України та її військовослужбовців. СБУ не дозволить жодному з них, а також їхніми агентів, які перебували на релігійних та церковних постах, виступати проти України та її військовослужбовців. СБУ не дозволить жодному з них, а також їхніми агентів, які перебували на релігійних та церковних постах, виступати проти України та її військовослужбовців. СБУ не дозволить жодному з них, а також їхніми агентів, які перебували на релігійних та церковних постах, виступати проти України та її військовослужбовців. СБУ не дозволить жодному з них, а також їхніми агентів,"
1,"Напиши резюме тексту: Унаслідок російської атаки по Кривому Рогу загинуло вже 11 людей, ще десятки зазнали поранень. Рятувальна операція у місті завершилася. Про це повідомив голова Ради оборони міста Олександр Вілкул. Станом на 13:00 відомо про 10 загиблих людей, одна людина перебуває під завалами. Ще 28 людей поранено, з них 12 — у лікарнях міста в середньому, тяжкому й дуже тяжкому стані. Доповнено о 14:37. Тіло ще однієї загиблої людини дістали з-під завалів приватного підприємства у Кривому Розі. Тож окупанти вбили в місті 11 цивільних людей. Пошуково-рятувальна операція завершилася. Доповнено о 19:55. Кількість поранених через ракетний удар по Кривому Рогу зросла до 36 людей. 14 червня у Кривому Розі оголошено День жалоби. ДСНС України Дніпропетровська обласна прокуратура Дніпропетровська обласна прокуратура Дніпропетровська обласна прокуратура Доповнено о 16:17. Глава МВС Ігор Клименко повідомив, що унаслідок влучання у п’ятиповерхівку загинуло 4 людей: молода сім'я, літня людина і чоловік близько 30 років, якого ще ідентифікують. Вілкул розповів, що загиблому подружжю — Давиду та Ксенії — було лише по 22 роки. Пара одружилася лише торік. Олександр Вілкул Також ракети влучили у склад бутильованої води, де працювало близько 25 цивільних у цілодобовому режимі. «Ця вода розвозилася у всі куточки нашої держави, в тому числі і у Херсонську область для постраждалих внаслідок підриву Каховської ГЕС», — повідомив Ігор Клименко. Він повідомив, що на складі знайшли 7 людей, одному з них було 17 років. Крім того, троє людей наразі перебувають в лікарні. Про атаку У ніч проти 13 червня російсько-окупаційні війська здійснили ракетний удар по Кривому Розі, влучивши в житловий сектор. Три крилаті ракети збили українські бійці з Повітряного командування «Схід», але є також і «прильоти». Зокрема, росіяни понівечили п’ятиповерхівку. Унаслідок атаки загорілися з першого по п'ятий поверхи двох під’їздів будинку, горіли припарковані автомобілі. Загальна площа пожежі становить 700 кв. м. О 06:22 пожежу вдалося локалізувати, рятувальники розбирають завали. Суттєвих руйнувань зазнали багатоповерхові та приватні будинки, приватне підприємство, автомобільне підприємство, автомобілі. На 11:00 до поліції Кривого Рогу звернулася 81 людина із заявами про пошкодження майна. Під час огляду правоохоронці знайшли уламки ракет, тепер встановлюють їхній тип. Прокуратура почала розслідування за фактом порушення законів і звичаїв війни, поєднаного з умисним убивством (ч. 2 ст. 438 КК України). Доповнено о 11:00. Унаслідок ракетного удару по Кривому Рогу загинуло 11 людей, ще десятки зазнали поранень. Рятувальна операція у місті завершилася. Про це повідомив голова Ради оборони міста Олександр Вілкул. Станом на 13:00 відомо про 10 загиблих людей, одна людина перебуває під завалами. Ще 28 людей поранено, з них 12 — у лікарнях міста в середньому, тяжкому й дуже тяжкому стані. Доповнено о 14:37. Тіло ще однієї загиблої людини дістали з-під завалів приватного підприємства у Кривому Розі. Тож окупанти вбили в місті 11 цивільних людей. Пошуково-рятувальна операція завершилася. Доповнено о 19:55. Кількість поранених через ракетний удар по Кривому Рогу зросла до 36 людей. 14 червня у Кривому Розі оголошено День жалоби. ДСНС України Дніпропетровська обласна прокуратура Дніпропетровська обласна прокуратура Дніпропетровська обласна прок",hromadske-34023,"Унаслідок російської атаки по Кривому Рогу загинуло вже 11 людей, ще десятки зазнали поранень. Рятувальна операція у місті завершилася. Про це повідомив голова Ради оборони міста Олександр Вілкул. Станом на 13:00 відомо про 10 загиблих людей, одна людина перебуває під завалами. Ще 28 людей поранено, з них 12 — у лікарнях міста в середньому, тяжкому й дуже тяжкому стані. Доповнено о 14:37. Тіло ще однієї загиблої людини дістали з-під завалів приватного підприємства у Кривому Розі. Тож окупанти вбили в місті 11 цивільних людей. Пошуково-рятувальна операція завершилася. Доповнено о 19:55. Кількість поранених через ракетний удар по Кривому Рогу зросла до 36 людей. 14 червня у Кривому Розі оголошено День жалоби. ДСНС України Дніпропетровська обласна прокуратура Дніпропетровська обласна прокуратура Дніпропетровська обласна прокуратура Доповнено о 16:17. Глава МВС Ігор Клименко повідомив, що унаслідок влучання у п’ятиповерхівку загинуло 4 людей: молода сім'я, літня людина і чоловік близько 30 років, якого ще ідентифікують. Вілкул розповів, що загиблому подружжю — Давиду та Ксенії — було лише по 22 роки. Пара одружилася лише торік. Олександр Вілкул Також ракети влучили у склад бутильованої води, де працювало близько 25 цивільних у цілодобовому режимі. «Ця вода розвозилася у всі куточки нашої держави, в тому числі і у Херсонську область для постраждалих внаслідок підриву Каховської ГЕС», — повідомив Ігор Клименко. Він повідомив, що на складі знайшли 7 людей, одному з них було 17 років. Крім того, троє людей наразі перебувають в лікарні. Про атаку У ніч проти 13 червня російсько-окупаційні війська здійснили ракетний удар по Кривому Розі, влучивши в житловий сектор. Три крилаті ракети збили українські бійці з Повітряного командування «Схід», але є також і «прильоти». Зокрема, росіяни понівечили п’ятиповерхівку. Унаслідок атаки загорілися з першого по п'ятий поверхи двох під’їздів будинку, горіли припарковані автомобілі. Загальна площа пожежі становить 700 кв. м. О 06:22 пожежу вдалося локалізувати, рятувальники розбирають завали. Суттєвих руйнувань зазнали багатоповерхові та приватні будинки, приватне підприємство, автомобільне підприємство, автомобілі. На 11:00 до поліції Кривого Рогу звернулася 81 людина із заявами про пошкодження майна. Під час огляду правоохоронці знайшли уламки ракет, тепер встановлюють їхній тип. Прокуратура почала розслідування за фактом порушення законів і звичаїв війни, поєднаного з умисним убивством (ч. 2 ст. 438 КК України).",,"Доповнено о 11:00. Унаслідок ракетного удару по Кривому Рогу загинуло 11 людей, ще десятки зазнали поранень. Рятувальна операція у місті завершилася. Про це повідомив голова Ради оборони міста Олександр Вілкул. Станом на 13:00 відомо про 10 загиблих людей, одна людина перебуває під завалами. Ще 28 людей поранено, з них 12 — у лікарнях міста в середньому, тяжкому й дуже тяжкому стані. Доповнено о 14:37. Тіло ще однієї загиблої людини дістали з-під завалів приватного підприємства у Кривому Розі. Тож окупанти вбили в місті 11 цивільних людей. Пошуково-рятувальна операція завершилася. Доповнено о 19:55. Кількість поранених через ракетний удар по Кривому Рогу зросла до 36 людей. 14 червня у Кривому Розі оголошено День жалоби. ДСНС України Дніпропетровська обласна прокуратура Дніпропетровська обласна прокуратура Дніпропетровська обласна прок"
2,"Напиши резюме тексту: У Росії над московським аеропортом ""Внуково"" закривали небо через наближення безпілотника. Всі рейси перенесені. Згодом з'явилося повідомлення про звук вибуху у Москві. Мер Москви повідомив про збиття безпілотника. Як повідомляє ТАСС та РИА Новости. Вильоти та прильоти у московському аеропорту відкладені, частину літаків перенаправили в інші аеропорти. Телеграм-канал ""112"" повідомив, що у Москві оголосили план ""ковер"" (""килим""), яким повітряний простір закривають для всієї авіації, крім військової і рятувальної. Безпілотник, через який закрили повітряний простір, летить у бік Москви з боку Кубинки. Згодом стало відомо про закриття повітряного простору над аеропортом Калуги ""через загрозу атаки безпілотником"". Пізніше ЗМІ з посиланням на очевидців повідомили про вибух у районі Карамишевської набережної на північному заході Москви. Телеграм-канал База опублікував відео диму нібито від вибуху безпілотника. РИА Новости з посиланням на аеропорт ""Внуково"" повідомило, що обмеження на польоти у ""Внуково"" знято з 10.50, аеропорт працює у штатному режимі. Мер Москви Сергій Собянін заявив про збиття безпілотника. ""Було здійснено спробу прольоту на місто одного безпілотника. Внаслідок роботи ППО він був ліквідований. Під час падіння уламків у районі Карамишевської набережної ніхто не постраждав. Серйозних руйнувань немає. Екстрені служби працюють на місці"", — написав він у Телеграм. Міноборони РФ звинуватило в атаці Україну і також заявило про збиття дрона: ""БПЛА був пригнічений засобами радіоелектронної боротьби і розбився в лісовому масиві на заході міста Москви."" Напередодні у Підмосковʼї в районі аеропорту ""Домодєдово"" пролунало два вибухи, після чого зайнялась пожежа на щонайменше 1 тис. квадратних метрів. У ніч проти 1 серпня в Москві та області прогриміли вибухи. В одну із веж ділового центру ""Москва-Сіті"" влучив безпілотник. У Держдепі заявили, що США не заохочують завдання ударів за межами України та не допомагають їх здійснювати, проте залишають за Україною право самостійно вирішувати, ""як саме вести цю війну"". У Євросоюзі заявили, що заяви Кремля не викликають довіри. Згодом, 6 серпня, міський голова Москви Сергій Собянін заявив, що російські ППО збили безпілотник на підльоті до міста. Міноборони РФ додали, що російські ЗС нібито зірвали спробу Києва атакувати цілі на території Московської області. У відомстві додали, що жертв і руйнувань немає. Тоді ж у московському аеропорту ""Внуково"" через загрозу атаки безпілотників були затримані низка рейсів на виліт та приліт. Деякі літаки також були перенаправлені в інші аеропорти. У ніч проти 9 серпня Москву знову намагалися атакувати два дрони. За словами Собяніна, їх збили на околицях міста. У Міноборони РФ заявили, що ""війна Росії проти України"" не обмежилася межами України. У відомстві додали, що ""війна"" Росії проти України ""поточна"". У Міноборони РФ заявили, що ""війна Росії проти України"" не обмежилася межами України. У відомстві додали, що ""війна"" Росії проти України ""поточна"". У Міноборони РФ заявили, що ""війна Росії проти України"" не обмежилася межами України. У відомстві додали, що ""війна"" Росії проти України ""поточна"". У Міноборони РФ заявили, що ""війна Росії проти України"" не обмежилася межами України. У відомстві додали, що ""війна"" Росії проти України ""поточна"". У Міноборони РФ заявили, що ""війна Росії проти України"" не обмежилася межами України. У відомстві додали, що ""війна"" Росії проти України ""поточна"". У Міноборони РФ заявили, що ""війна Росії проти України"" не обмежилася межами України. У відомстві додали, що ""війна"" Росії проти України ""поточна"".",suspilne-23277,"У Росії над московським аеропортом ""Внуково"" закривали небо через наближення безпілотника. Всі рейси перенесені. Згодом з'явилося повідомлення про звук вибуху у Москві. Мер Москви повідомив про збиття безпілотника. Як повідомляє ТАСС та РИА Новости. Вильоти та прильоти у московському аеропорту відкладені, частину літаків перенаправили в інші аеропорти. Телеграм-канал ""112"" повідомив, що у Москві оголосили план ""ковер"" (""килим""), яким повітряний простір закривають для всієї авіації, крім військової і рятувальної. Безпілотник, через який закрили повітряний простір, летить у бік Москви з боку Кубинки. Згодом стало відомо про закриття повітряного простору над аеропортом Калуги ""через загрозу атаки безпілотником"". Пізніше ЗМІ з посиланням на очевидців повідомили про вибух у районі Карамишевської набережної на північному заході Москви. Телеграм-канал База опублікував відео диму нібито від вибуху безпілотника. РИА Новости з посиланням на аеропорт ""Внуково"" повідомило, що обмеження на польоти у ""Внуково"" знято з 10.50, аеропорт працює у штатному режимі. Мер Москви Сергій Собянін заявив про збиття безпілотника. ""Було здійснено спробу прольоту на місто одного безпілотника. Внаслідок роботи ППО він був ліквідований. Під час падіння уламків у районі Карамишевської набережної ніхто не постраждав. Серйозних руйнувань немає. Екстрені служби працюють на місці"", — написав він у Телеграм. Міноборони РФ звинуватило в атаці Україну і також заявило про збиття дрона: ""БПЛА був пригнічений засобами радіоелектронної боротьби і розбився в лісовому масиві на заході міста Москви."" Напередодні у Підмосковʼї в районі аеропорту ""Домодєдово"" пролунало два вибухи, після чого зайнялась пожежа на щонайменше 1 тис. квадратних метрів. У ніч проти 1 серпня в Москві та області прогриміли вибухи. В одну із веж ділового центру ""Москва-Сіті"" влучив безпілотник. У Держдепі заявили, що США не заохочують завдання ударів за межами України та не допомагають їх здійснювати, проте залишають за Україною право самостійно вирішувати, ""як саме вести цю війну"". У Євросоюзі заявили, що заяви Кремля не викликають довіри. Згодом, 6 серпня, міський голова Москви Сергій Собянін заявив, що російські ППО збили безпілотник на підльоті до міста. Міноборони РФ додали, що російські ЗС нібито зірвали спробу Києва атакувати цілі на території Московської області. У відомстві додали, що жертв і руйнувань немає. Тоді ж у московському аеропорту ""Внуково"" через загрозу атаки безпілотників були затримані низка рейсів на виліт та приліт. Деякі літаки також були перенаправлені в інші аеропорти. У ніч проти 9 серпня Москву знову намагалися атакувати два дрони. За словами Собяніна, їх збили на околицях міста.",,"У Міноборони РФ заявили, що ""війна Росії проти України"" не обмежилася межами України. У відомстві додали, що ""війна"" Росії проти України ""поточна"". У Міноборони РФ заявили, що ""війна Росії проти України"" не обмежилася межами України. У відомстві додали, що ""війна"" Росії проти України ""поточна"". У Міноборони РФ заявили, що ""війна Росії проти України"" не обмежилася межами України. У відомстві додали, що ""війна"" Росії проти України ""поточна"". У Міноборони РФ заявили, що ""війна Росії проти України"" не обмежилася межами України. У відомстві додали, що ""війна"" Росії проти України ""поточна"". У Міноборони РФ заявили, що ""війна Росії проти України"" не обмежилася межами України. У відомстві додали, що ""війна"" Росії проти України ""поточна"". У Міноборони РФ заявили, що ""війна Росії проти України"" не обмежилася межами України. У відомстві додали, що ""війна"" Росії проти України ""поточна""."
3,"Напиши резюме тексту: Російська окупаційна влада в окремих районах Донецької та Луганської областей примусово мобілізує чоловіків, а в разі відмови їм погрожують тортурами Російська окупаційна влада в окремих районах Донецької та Луганської областей примусово мобілізує чоловіків, а в разі відмови їм погрожують тортурами. Про це на брифінгу сказав міністр оборони України Олексій Резніков. Він зазначив, що в ОРДЛО з боку окупаційних адміністрацій відбувається дезінформація і залякування населення. ""Російські окупаційні адміністрації оголосили загальну мобілізацію, тобто захопили в заручники чоловіків. Добровільно майже ніхто не хоче брати участь у цьому фарсі, тому людей змушують отримувати зброю, залякують, що інакше визнають українськими шпигунами і катуватимуть"", - наголосив Резніков. Він також додав: ""Ватажки бойовиків, які записали відомі звернення, де-факто розповіли про обстріли за дві доби до їх початку. Потім влаштували фарс із “екстреною евакуацією”, і без жодних підстав, тільки щоб створити картинку для пропаганди. Фактично вони захопили літніх людей, жінок та дітей у заручники, щоб зробити їх частиною військової операції"". ""Вони не хочуть, щоб їхні бійки, які не хочуть брати участь у бойовій операції, не визнають шпигунами і не катують. Окупаційна влада в ОРДЛО примусово мобілізує чоловіків, а в разі відмови їм погрожують тортурами"", - зазначив міністр оборони України. Він також наголосив, що Російська окупаційна влада в окремих районах Донецької та Луганської областей примусово мобілізує чоловіків, а в разі відмови їм погрожують тортурами. Про це на брифінгу сказав міністр оборони України Олексій Резніков. Він зазначив, що в ОРДЛО з боку окупаційних адміністрацій відбувається дезінформація і залякування населення. ""Російські окупаційні адміністрації оголосили загальну мобілізацію, тобто захопили в заручники чоловіків. Добровільно майже ніхто не хоче брати участь у цьому фарсі, тому людей змушують отримувати зброю, залякують, що інакше визнають українськими шпигунами і катуватимуть"", - наголосив Резніков. Він також додав: ""Ватаж",espreso-15189,"Російська окупаційна влада в окремих районах Донецької та Луганської областей примусово мобілізує чоловіків, а в разі відмови їм погрожують тортурами Російська окупаційна влада в окремих районах Донецької та Луганської областей примусово мобілізує чоловіків, а в разі відмови їм погрожують тортурами. Про це на брифінгу сказав міністр оборони України Олексій Резніков. Він зазначив, що в ОРДЛО з боку окупаційних адміністрацій відбувається дезінформація і залякування населення. ""Російські окупаційні адміністрації оголосили загальну мобілізацію, тобто захопили в заручники чоловіків. Добровільно майже ніхто не хоче брати участь у цьому фарсі, тому людей змушують отримувати зброю, залякують, що інакше визнають українськими шпигунами і катуватимуть"", - наголосив Резніков. Він також додав: ""Ватажки бойовиків, які записали відомі звернення, де-факто розповіли про обстріли за дві доби до їх початку. Потім влаштували фарс із “екстреною евакуацією”, і без жодних підстав, тільки щоб створити картинку для пропаганди. Фактично вони захопили літніх людей, жінок та дітей у заручники, щоб зробити їх частиною військової операції"".",,"""Вони не хочуть, щоб їхні бійки, які не хочуть брати участь у бойовій операції, не визнають шпигунами і не катують. Окупаційна влада в ОРДЛО примусово мобілізує чоловіків, а в разі відмови їм погрожують тортурами"", - зазначив міністр оборони України. Він також наголосив, що Російська окупаційна влада в окремих районах Донецької та Луганської областей примусово мобілізує чоловіків, а в разі відмови їм погрожують тортурами. Про це на брифінгу сказав міністр оборони України Олексій Резніков. Він зазначив, що в ОРДЛО з боку окупаційних адміністрацій відбувається дезінформація і залякування населення. ""Російські окупаційні адміністрації оголосили загальну мобілізацію, тобто захопили в заручники чоловіків. Добровільно майже ніхто не хоче брати участь у цьому фарсі, тому людей змушують отримувати зброю, залякують, що інакше визнають українськими шпигунами і катуватимуть"", - наголосив Резніков. Він також додав: ""Ватаж"
